case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,540,5,13,12,20,20,20
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,548,8,8,7,20,20,20
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,504,3,10,7,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,530,9,5,3,14,14,14
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,551,13,4,4,19,19,19
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,540,11,5,5,13,13,13
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,531,7,6,3,26,26,26
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,507,4,5,6,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,535,5,9,7,18,18,18
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,562,14,5,4,14,14,14
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,614,13,9,8,22,22,22
