case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,607,5,15,16,17,17,17
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,654,8,15,16,16,16,16
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,576,3,15,15,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,559,9,3,3,8,8,8
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,578,13,2,2,4,4,4
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,575,11,3,3,8,8,8
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,576,7,3,2,9,9,9
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,592,4,11,15,17,17,17
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,605,5,15,16,16,16,16
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,559,14,2,3,7,7,7
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,763,13,16,16,31,31,31
