case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,558,5,14,15,17,17,17
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,561,8,9,10,11,11,11
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,514,3,9,10,11,11,11
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,542,9,5,5,9,9,9
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,558,13,5,5,7,7,7
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,547,11,5,5,9,9,9
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,526,7,4,4,8,8,8
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,513,4,7,9,11,11,11
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,536,5,9,9,11,11,11
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,573,14,6,7,10,10,10
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,603,13,8,9,10,10,10
