case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,549,5,13,13,15,15,15
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,545,8,7,7,13,13,13
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,511,3,8,8,9,9,9
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,522,9,4,4,6,6,6
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,530,13,3,3,9,9,9
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,521,11,3,4,7,7,7
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,525,7,4,3,15,15,15
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,503,4,6,8,9,9,9
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,522,5,7,8,10,10,10
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,537,14,3,4,8,8,8
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,590,13,8,7,16,16,16
